id,positive,negative
397553371714179000,1,0
438358325231489000,1,0
526719945682341000,0,0
320627626064613000,0,0
495746063379468000,0,0
475768371091222000,0,0
475594987116056000,0,0
338632275891732000,0,1
477249572704485000,0,2
536237773431504000,2,0
467063626021752000,1,0
307950317268512000,0,0
394856153366011000,0,0
420025760678567000,0,0
480040295066009000,1,0
440611778163007000,0,0
319969154063007000,0,0
425136578961219000,0,0
502939751960543000,0,0
385220860035883000,1,0
346318656629784000,0,0
498990160353435000,0,0
371258625840660000,2,0
527635436391243000,1,0
349622665184677000,0,0
314536553022111000,0,0
526152867615629000,0,0
327562840519094000,0,0
324582875993350000,1,0
444924478989271000,0,1
421440465703948000,1,0
445136156762468000,0,0
547115562526994000,2,0
482243986724106000,0,0
376085137458724000,0,0
294357043610021000,0,0
421481146577616000,1,0
344150843257413000,3,1
509654228730933000,2,0
311513303111327000,0,1
526151118523727000,1,1
331148291326750000,0,0
538148463540965000,1,0
428578856677933000,1,0
518939457345839000,1,0
412301844845584000,0,0
526205522824151000,0,0
539634929068691000,0,0
489013694018633000,0,0
543385639388200000,0,0
337738998002880000,0,0
374592506203099000,0,1
397761795273682000,0,0
549592177337069000,0,0
379747087635996000,0,0
358214810082611000,0,0
345664064455843000,0,0
365653907558510000,1,1
506197761327661000,0,0
383210181926346000,0,0
415272095820427000,0,1
382937405374074000,0,1
471742913001848000,0,0
324721182773477000,1,0
392855629775118000,0,0
347119529874309000,1,0
525621667431989000,0,0
371424216966782000,0,0
476808537759571000,0,0
451086670389972000,1,0
411886244164296000,0,0
509410728529645000,1,0
400469352664674000,0,0
291954995073523000,1,1
364911335194107000,0,0
358700770520088000,0,0
478485919431815000,0,0
355062761190989000,0,0
545773674721447000,0,0
309751997161156000,1,0
332704214218317000,0,0
386563901267001000,0,1
302980045742411000,1,0
325329495471030000,0,0
334484746656677000,0,1
518757475013513000,1,0
475845827265454000,0,0
427521036595101000,0,0
452286367276343000,1,0
359856385330130000,0,0
430122675281752000,2,1
506808519253696000,0,0
322039135131021000,0,0
430396731029598000,0,0
529088175407656000,0,0
432599856348024000,0,0
347177587358961000,0,0
403005375861227000,0,0
399254636244529000,0,0
354379714649006000,0,0
521875864271986000,1,0
299975879969366000,0,0
509377853260312000,0,0
382667581318238000,1,2
403901941564325000,0,0
322075944338735000,0,2
295170851584749000,0,0
365558852109869000,0,0
311229977754484000,0,0
509695156908339000,1,0
462932760991375000,0,0
538419172246818000,1,0
343790531492589000,0,0
372146132161269000,0,0
450445185181167000,1,0
435512527917957000,0,0
398989879008567000,0,0
450298904966619000,0,0
503548572072423000,2,0
358368346997530000,0,0
347019667593900000,1,0
362784500331196000,0,0
505434922426044000,0,0
398988767521804000,0,0
297500183544082000,0,0
376521642676989000,0,0
302864568487645000,2,0
472593983550418000,1,0
512759603478532000,0,0
526559345786781000,0,0
516566026696138000,0,0
329714229202534000,0,0
364887188774731000,0,0
526185515985694000,0,0
352247905081491000,0,1
294562547632324000,0,0
399623478976192000,2,0
339865711524581000,0,0
425021831221768000,0,0
414783312553451000,0,0
488034810469048000,0,0
537068921158123000,2,0
502623333817802000,0,0
294982707967037000,1,0
347379459277598000,1,0
429434033240424000,0,0
504099871519809000,0,0
301456989366648000,0,1
515447334117720000,0,1
398971524691947000,0,0
425310206138920000,0,0
347024692164575000,0,0
467152574542782000,0,0
420531341998821000,0,1
484532768076886000,0,0
421024307176038000,0,0
464887860307697000,0,1
548916907026698000,2,0
347081445262635000,1,0
493267900824686000,0,0
336484377171222000,2,0
315492665665929000,0,0
437586673975963000,0,0
494287670320054000,0,0
415241112802951000,0,0
345196747439611000,1,0
380353177083981000,0,0
547736835426762000,2,0
323175670148628000,0,2
503241137730379000,2,0
296322561615208000,0,1
500005761016410000,0,0
418011358311878000,0,2
505145058195427000,1,0
527191100151177000,0,0
445149729760886000,0,0
537812827156013000,0,1
344937854184591000,0,0
461670602399444000,1,0
355758151720644000,0,0
440613107514507000,0,0
426640379333853000,0,0
527905424025346000,0,0
465310536855322000,0,0
348623175250231000,0,2
481933704617414000,2,0
439206992473649000,1,0
346778511656251000,0,0
471296408419840000,1,0
325239800355487000,1,0
544280154348847000,0,0
511720791499878000,0,0
346639197999886000,1,0
503203301111123000,2,0
402609815081328000,1,0
